id	id_address_delivery	id_cart	id_address_invoice	id_customer	current_state	valid	date_add	note	total_paid_real	associations
1	5	1	5	2	6	0	2023-04-25 08:20:31	Test	0.000000	{'order_rows': [{'id': '1', 'product_id': '1', 'product_attribute_id': '1', 'product_quantity': '1', 'product_name': 'Hummingbird printed t-shirt - Color : White, Size : S', 'product_reference': 'demo_1', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '23.900000', 'id_customization': '0', 'unit_price_tax_incl': '23.900000', 'unit_price_tax_excl': '23.900000'}, {'id': '2', 'product_id': '2', 'product_attribute_id': '9', 'product_quantity': '1', 'product_name': 'Hummingbird printed sweater - Color : White, Size : S', 'product_reference': 'demo_3', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '35.900000', 'id_customization': '0', 'unit_price_tax_incl': '35.900000', 'unit_price_tax_excl': '35.900000'}]}
2	5	2	5	2	6	0	2023-04-25 08:20:31		169.900000	{'order_rows': [{'id': '3', 'product_id': '4', 'product_attribute_id': '18', 'product_quantity': '2', 'product_name': 'The adventure begins Framed poster - Size : 80x120cm', 'product_reference': 'demo_5', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '79.000000', 'id_customization': '0', 'unit_price_tax_incl': '79.000000', 'unit_price_tax_excl': '79.000000'}, {'id': '4', 'product_id': '8', 'product_attribute_id': '0', 'product_quantity': '1', 'product_name': 'Mug Today is a good day', 'product_reference': 'demo_13', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '11.900000', 'id_customization': '0', 'unit_price_tax_incl': '11.900000', 'unit_price_tax_excl': '11.900000'}]}
3	5	3	5	2	6	0	2023-04-25 08:20:31		21.300000	{'order_rows': [{'id': '5', 'product_id': '16', 'product_attribute_id': '28', 'product_quantity': '1', 'product_name': 'Mountain fox notebook Style : Ruled', 'product_reference': 'demo_8', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '12.900000', 'id_customization': '0', 'unit_price_tax_incl': '12.900000', 'unit_price_tax_excl': '12.900000'}]}
4	5	4	5	2	6	0	2023-04-25 08:20:31		21.300000	{'order_rows': [{'id': '6', 'product_id': '16', 'product_attribute_id': '29', 'product_quantity': '1', 'product_name': 'Mountain fox notebook Style : Plain', 'product_reference': 'demo_8', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '12.900000', 'id_customization': '0', 'unit_price_tax_incl': '12.900000', 'unit_price_tax_excl': '12.900000'}]}
5	5	5	5	2	6	0	2023-04-25 08:20:31		27.300000	{'order_rows': [{'id': '7', 'product_id': '10', 'product_attribute_id': '25', 'product_quantity': '1', 'product_name': 'Brown bear cushion Color : Black', 'product_reference': 'demo_16', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '18.900000', 'id_customization': '0', 'unit_price_tax_incl': '18.900000', 'unit_price_tax_excl': '18.900000'}]}
6	7	6	7	3	6	0	2023-06-04 15:40:35		0.000000	{'order_rows': [{'id': '8', 'product_id': '2', 'product_attribute_id': '9', 'product_quantity': '1', 'product_name': 'Hummingbird printed sweater (Szerokość: 10)', 'product_reference': 'demo_3', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '28.720000', 'id_customization': '0', 'unit_price_tax_incl': '35.325600', 'unit_price_tax_excl': '28.720000'}]}
7	13	20	13	13	6	0	2023-09-29 12:58:30		0.000000	{'order_rows': [{'id': '9', 'product_id': '28084', 'product_attribute_id': '0', 'product_quantity': '1', 'product_name': 'TULIPANY Poduszka z wypełnieniem silikonowym, MICROFIBRA, 40x40cm, kolor 001 biały T00004/SIL/001/040040/1', 'product_reference': '', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '24.900000', 'id_customization': '0', 'unit_price_tax_incl': '24.900000', 'unit_price_tax_excl': '24.900000'}]}
8	14	25	14	14	6	0	2023-10-23 18:10:30		0.000000	{'order_rows': [{'id': '10', 'product_id': '43266', 'product_attribute_id': '0', 'product_quantity': '1', 'product_name': 'BASIC Zasłona gotowa na przelotkach, szerokość 145 x wysokość 230cm, kolor 002 szary TD0005/ZGP/002/145230/1', 'product_reference': '', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '48.900000', 'id_customization': '0', 'unit_price_tax_incl': '48.900000', 'unit_price_tax_excl': '48.900000'}]}
9	15	26	15	15	6	0	2023-10-31 13:34:26		0.000000	{'order_rows': [{'id': '11', 'product_id': '26589', 'product_attribute_id': '0', 'product_quantity': '1', 'product_name': 'FELEK Obrus wodoodporny, 120x160cm, kolor 002 jasny szary TORENA/205/C02/120160/1', 'product_reference': '', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '38.500000', 'id_customization': '0', 'unit_price_tax_incl': '38.500000', 'unit_price_tax_excl': '38.500000'}]}
10	15	27	15	15	6	0	2023-10-31 13:49:03		0.000000	{'order_rows': [{'id': '12', 'product_id': '43308', 'product_attribute_id': '0', 'product_quantity': '1', 'product_name': 'PIERNIKI Poduszka z wypełnieniem silikonowym dwustronna MICROFIBRA, 30x50cm, kolor 003 zielony TBN016/SIL/003/030050/1', 'product_reference': '', 'product_ean13': '', 'product_isbn': '', 'product_upc': '', 'product_price': '24.900000', 'id_customization': '0', 'unit_price_tax_incl': '24.900000', 'unit_price_tax_excl': '24.900000'}]}
